Item ID,Brand,CATEGORY
11MIL203,MILKA IMPORT,COOKIE/CRACKERS
11MIL204,MILKA IMPORT,GROCERY
11MIL205,MILKA IMPORT,TEA
11MIL205-1,MILKA IMPORT,TEA
11MIL205-2,MILKA IMPORT,TEA
11MIL206,MILKA IMPORT,TEA
11MIL207,MILKA IMPORT,TEA
11MIL208,MILKA IMPORT,CHOCOLATE/CANDY
11MIL209,MILKA IMPORT,GROCERY
11MIL210,MILKA IMPORT,ENERGY BAR
11MIL211,MILKA IMPORT,CHOCOLATE/CANDY
11MIL212,MILKA IMPORT,ETHNIC
11MIL213,MILKA IMPORT,CHOCOLATE/CANDY
11MIL214,MILKA IMPORT,BEVERAGE
11MIL215,MILKA IMPORT,BEVERAGE
11MIL216,MILKA IMPORT,TEA
11MIL301,MILKA IMPORT,BEVERAGE
11MIL301-1,MILKA IMPORT,CHIPS
11MIL301-2,MILKA IMPORT,COOKIE/CRACKERS
11MIL302,MILKA IMPORT,BEVERAGE
11MIL303,MILKA IMPORT,GROCERY
11MIL304,MILKA IMPORT,GROCERY
11MIL305,MILKA IMPORT,BEVERAGE
11MIL305-1,MILKA IMPORT,BEVERAGE
11MIL306,MILKA IMPORT,BEVERAGE
11MIL307,MILKA IMPORT,BEVERAGE
11MIL308,MILKA IMPORT,COOKIE/CRACKERS
11MIL309,MILKA IMPORT,GROCERY
11MIL310,MILKA IMPORT,WATER
11MIL311,MILKA IMPORT,CHOCOLATE/CANDY
11NES101,IMPORT CANDY,GUM
11NES401,IMPORT CANDY,GUM
11NES401-1,IMPORT CANDY,GUM
11NES402,IMPORT CANDY,GUM
11NUT101,NUTELLA IMPORT,GUM
11NUT101-1,NUTELLA IMPORT,GUM
11NUT201,NUTELLA IMPORT,CHIPS
11NUT201-1,NUTELLA IMPORT,TEA
11NUT201-2,NUTELLA IMPORT,BEVERAGE
11NUT202,NUTELLA IMPORT,CHIPS
11NUT203,NUTELLA IMPORT,ETHNIC
11NUT204,NUTELLA IMPORT,CHOCOLATE/CANDY
11NUT205,NUTELLA IMPORT,CHEESE
11ORE101,OREO IMPORT,NONFOOD
11ORE102,OREO IMPORT,NONFOOD
11SMA101,SMART IMPORT,NONFOOD
12ALM01,DR.SNACK,NONFOOD
12ALM02,DR.SNACK,NONFOOD
12ALM03,DR.SNACK,NONFOOD
12apr01,DR.SNACK,NONFOOD
12APR01,DR.SNACK,NONFOOD
12BAN01,DR.SNACK,CHOCOLATE/CANDY
12BEE01,DR.SNACK,CHOCOLATE/CANDY
12BUT01,DR.SNACK,BEVERAGE
12CAS01,DR.SNACK,COOKIE/CRACKERS
12CAS02,DR.SNACK,SNACK
12CAS03,DR.SNACK,NONFOOD
12CAS04,DR.SNACK,GROCERY
12CAS05,DR.SNACK,SNACK
12CHO01,DR.SNACK,BEVERAGE
12CHO02,DR.SNACK,BEVERAGE
12CHO03,DR.SNACK,SNACK
